Tokenized_Tweet,Corrected_Token
"['meluasnya', 'pandemi', 'coronavirus', 'disease', 'covid', 'di', 'indonesia', 'termasuk', 'di', 'papua', 'berdampak', 'pada', 'sejumlah', 'sektor', 'salah', 'satunya', 'perhotelan', 'opm']","['meluasnya', 'pandemi', 'coronavirus', 'disease', 'covid', 'di', 'indonesia', 'termasuk', 'di', 'papua', 'berdampak', 'pada', 'sejumlah', 'sektor', 'salah', 'satunya', 'perhotelan', 'organisasi', 'papua', 'merdeka']"
"['ada', 'gelombang', 'kedua', 'virus', 'corona', 'covid', 'telah', 'bermutasi']","['ada', 'gelombang', 'kedua', 'virus', 'corona', 'covid', 'telah', 'bermutasi']"
"['bantuan', 'masyarakat', 'terus', 'mengalir', 'rekening', 'gugus', 'tugas', 'covid', 'sudah', 'terisi', 'rp', 'miliar']","['bantuan', 'masyarakat', 'terus', 'mengalir', 'rekening', 'gugus', 'tugas', 'covid', 'sudah', 'terisi', 'rp', 'miliar']"
"['ada', 'cara', 'mnyuruh', 'covid', 'sgera', 'pergi', 'jangan', 'lagi', 'jauh', 'dari', 'allah', 'sang', 'maha', 'pencipta', 'bukankh', 'covid', 'telah', 'mendidik', 'kita', 'dlm', 'suasana', 'covid', 'aktif', 'menyebar', 'semua', 'org', 'ketakutan', 'amp', 'semua', 'org', 'baru', 'mendekat', 'berdzikir', 'dan', 'berdoa', 'memohon', 'perlindungan', 'allah', 'sang', 'kholiq']","['ada', 'cara', 'mnyuruh', 'covid', 'segera', 'pergi', 'jangan', 'lagi', 'jauh', 'dari', 'allah', 'sang', 'maha', 'pencipta', 'bukankh', 'covid', 'telah', 'mendidik', 'kita', 'dlm', 'suasana', 'covid', 'aktif', 'menyebar', 'semua', 'org', 'ketakutan', 'amp', 'semua', 'org', 'baru', 'mendekat', 'berdzikir', 'dan', 'berdoa', 'memohon', 'perlindungan', 'allah', 'sang', 'kholiq']"
"['di', 'malaysia', 'kena', 'covid', 'temen', 'temen', 'lo', 'yang', 'pada', 'ga', 'punya', 'kerjaan', 'pada', 'pulang', 'ke', 'indonesia', 'ada', 'rb', 'orang', 'dan', 'juga', 'mereka', 'ber', 'resiko', 'bawa', 'tuh', 'virus', 'ga', 'boleh', 'pulang', 'juga']","['di', 'malaysia', 'kena', 'covid', 'temen', 'temen', 'lo', 'yang', 'pada', 'ga', 'punya', 'pekerjaan', 'pada', 'pulang', 'ke', 'indonesia', 'ada', 'rb', 'orang', 'dan', 'juga', 'mereka', 'ber', 'risiko', 'bawa', 'tuh', 'virus', 'ga', 'boleh', 'pulang', 'juga']"
"['skrinews', 'cegah', 'penyebaran', 'virus', 'corona', 'wartawan', 'media', 'skri', 'jadi', 'satgas', 'relawan', 'covid', 'didesanya']","['skrinews', 'cegah', 'penyebaran', 'virus', 'corona', 'wartawan', 'media', 'skri', 'jadi', 'satuan', 'tugas', 'relawan', 'covid', 'didesanya']"
"['lebaran', 'sebentar', 'lagi', 'gara', 'covid', 'lebaran', 'apa', 'masih', 'pada', 'butuh', 'aksesoris', 'enggak', 'ya']","['lebaran', 'sebentar', 'lagi', 'gara', 'covid', 'lebaran', 'apa', 'masih', 'pada', 'butuh', 'aksesoris', 'tidak', 'ya']"
"['giat', 'bhabinkamtibmas', 'bersama', 'masyarakat', 'melakukan', 'penyemprotan', 'disinfektan', 'untuk', 'mencegah', 'penyebaran', 'virus', 'covid']","['giat', 'bhayangkara', 'pembina', 'keamanan', 'dan', 'ketertiban', 'masyarakat', 'bersama', 'masyarakat', 'melakukan', 'penyemprotan', 'disinfektan', 'untuk', 'mencegah', 'penyebaran', 'virus', 'covid']"
"['kasih', 'sayang', 'allah', 'di', 'balik', 'musibah', 'covid']","['kasih', 'sayang', 'allah', 'di', 'balik', 'musibah', 'covid']"
"['anggota', 'polsek', 'koba', 'himbau', 'para', 'pemuda', 'tidak', 'kumpulkumpul', 'dan', 'segera', 'pulang', 'kerumahnya', 'masingmasing', 'untuk', 'mencegah', 'penyebaran', 'covid']","['anggota', 'kepolisian', 'sektor', 'koba', 'himbau', 'para', 'pemuda', 'tidak', 'kumpulkumpul', 'dan', 'segera', 'pulang', 'kerumahnya', 'masingmasing', 'untuk', 'mencegah', 'penyebaran', 'covid']"
